,balanced,barrel,bitter,black,bourbon,brown,caramel,carbonation,chocolate,citrus,coffee,creamy,dark,deep,dry,fruit,full,hazy,honey,light,malt,medium,oak,orange,rich,roasted,smooth,stout,sweet,tan,thick,thin,vanilla,white
balanced,0.0,0.8641390205371247,0.7325892857142856,0.1496989600437876,0.865506329113924,0.14259645464025025,0.4535655058043117,0.2885021097046413,0.615990990990991,0.5997807017543859,0.6582430806257521,0.3119475335044197,0.30677067400836133,0.09719260838663822,0.7418625678119348,0.6405152224824355,0.3457648546144121,0.0,0.47532151546750084,0.36859838274932616,0.47575559904327025,0.4578683035714285,0.43003144654088055,0.0,0.5331384015594541,0.829542007885957,1.073122882111646,0.7571982281284607,0.5577648618333843,0.0,0.2195024077046549,0.0,0.6405152224824355,0.04877831282325665
barrel,0.8641390205371247,0.0,0.34025473933649286,0.3754535054747508,1.6735856980022794,0.5676825682360674,0.8512414232156752,0.17228088067670524,1.1735942103240682,0.05116612621601397,1.3757592348623537,0.23285183188126118,0.6661457117630941,0.17411756383956992,0.44300797888295634,0.6374796053142724,0.4817766220693704,0.0,0.1135365136472135,0.3668514709827417,0.710251249756541,0.2734189869668246,0.9904989716534024,0.0,0.6822150162135195,0.9411960032601806,0.34953937909366845,1.4017138763363826,0.5329165694104753,0.5127857924066456,0.393231801480377,0.367429189834683,1.23246057027426,0.08738484477341711
bitter,0.7325892857142856,0.34025473933649286,0.0,0.09431034482758621,0.5517602848101265,0.14972627737226277,0.4592350746268657,0.48684731012658233,0.8315878378378377,0.9446546052631578,0.925654332129964,0.675561377245509,0.3733538543897216,0.1530783582089552,1.1684335443037974,0.4203381147540983,0.9076327433628318,0.14547872340425533,0.14972627737226277,0.5805424528301886,0.7024828767123287,0.7211425781249998,0.3386497641509434,0.657451923076923,0.5398026315789474,0.9145700636942675,0.8834971910112359,0.4174055232558139,1.1200615631691648,0.0,0.11523876404494383,0.08075787401574804,0.5324282786885245,0.11523876404494382
black,0.1496989600437876,0.3754535054747508,0.09431034482758621,0.0,0.6685290266259275,1.3905612886987164,0.39413278435409166,0.0955041466608468,0.7391891891891891,0.0,0.7762728743931283,0.3614288664051208,0.9047330724359448,0.9008749356664951,0.0477520733304234,0.18552854720180895,0.11684467500762892,0.0,0.41303800654417316,0.545695076989807,0.49954337899543383,0.2063038793103448,0.24912166558230323,0.02418213969938108,0.2647307924984876,0.961124533274764,0.11303112488699472,0.13159582999198075,0.26657313741416233,2.3836680560818495,0.8053467648198374,0.950529459679609,0.46382136800452234,0.09890223427612038
bourbon,0.865506329113924,1.6735856980022794,0.5517602848101265,0.6685290266259275,0.0,1.0044927469278389,1.6535046287549595,0.2465049671526999,2.11698169688676,0.0,1.8934903806607868,0.373152429318578,1.2676795055972678,0.3100321178915549,0.2958059605832399,0.5533565054990661,0.5514730592584295,0.0,0.3032430934121778,0.5552304752806304,1.3990376278827812,0.4665620055379746,1.861655122999761,0.03328870496592016,0.9717965800577393,2.2822905748609204,0.7390840563220026,0.8151861937003237,0.9340796357032499,0.5706635137014884,0.40844118902005405,0.20445031396391908,2.255991907034654,0.09724790214763192
brown,0.14259645464025025,0.5676825682360674,0.14972627737226277,1.3905612886987164,1.0044927469278389,0.0,1.2812397864691145,0.24638501339739444,0.7823535214046162,0.0,0.7567393080186565,0.28690065125224,1.987800684599634,1.34083233467698,0.07581077335304445,0.29454349647002515,0.15900135650151798,0.21237769840037274,0.43715701422558473,0.9793416884726621,0.5195980401959804,0.42110515510948904,0.6780057843272277,0.07678270634475014,0.38526059674734275,0.8392300897298806,0.17944722381694417,0.17410032252588695,0.5258053423779678,1.2833680917622523,0.6729270893135406,1.1317891832863958,0.6709046308483906,0.08972361190847208
caramel,0.4535655058043117,0.8512414232156752,0.4592350746268657,0.39413278435409166,1.6535046287549595,1.2812397864691145,0.0,0.4650481768373323,1.195206400430281,0.3222702278083268,1.1494692601972087,0.2933238001608723,1.0838952986672632,0.24370683893963022,0.20668807859436994,1.1376315145583558,0.5418702945449742,0.057901979464380235,1.0130733195337183,0.9499202102694078,1.3420568390922103,0.7972831156716418,1.5019008729935233,0.3140068886337543,0.954874749061709,1.2480273790284249,0.4892391972720667,0.18986463033668866,1.1887883920866757,0.3588650155814335,0.5045279221868187,0.1285697496768128,1.7399070222657205,0.30577449829504166
carbonation,0.2885021097046413,0.17228088067670524,0.48684731012658233,0.0955041466608468,0.2465049671526999,0.24638501339739444,0.4650481768373323,0.0,0.21052856654122473,0.1366588940706196,0.22496915413791524,1.2127453952853786,0.2001599219364107,0.1937700736822218,1.1832238423329595,0.25539531023033823,1.74633135431836,0.18415028279019663,0.037905386676522226,0.7838547886314784,0.1422750130050286,2.3328100276898733,0.31844100788153806,0.26630963972736127,0.3947923606484565,0.19846004998790615,1.264222727919215,0.42268913747424197,0.3780798525465535,0.057066351370148836,0.612661783530081,0.2453403767567029,0.1702635401535588,0.1166974825771583
chocolate,0.615990990990991,1.1735942103240682,0.8315878378378377,0.7391891891891891,2.11698169688676,0.7823535214046162,1.195206400430281,0.21052856654122473,0.0,0.024315433854907538,2.2282417796858227,0.5090224955494417,1.4166473754268185,0.46888866478418706,0.3040968183373246,0.4695669029685423,0.6541497249461851,0.0,0.5125764450581968,0.7554606493285739,1.3838701715414043,0.3609322212837837,0.993721315655278,0.0,1.1022996680891417,2.401187812015838,0.7198096973377871,0.4942253299811439,0.9101365819781236,0.8529106029106029,0.6229122380807774,0.32012130240476694,1.9691515285777579,0.2214799068731653
citrus,0.5997807017543859,0.05116612621601397,0.9446546052631578,0.0,0.0,0.0,0.3222702278083268,0.1366588940706196,0.024315433854907538,0.0,0.03897491924757743,0.7757642609517807,0.0462357714414516,0.08056755695208169,0.4099766822118588,1.4158757549611733,0.19108057755006985,1.1485162374020157,0.0788033038801383,0.712946871896723,0.8380497476568133,0.5482370476973684,0.45832298907646474,2.145369433198381,0.126269621421976,0.0,0.4447811945594323,0.0,0.46235771441451595,0.0,0.12130396215257244,0.08500828843762952,0.08849223468507333,1.2130396215257246
